Adv Name,Industry,Campaign Name,Total Impressions,Total Clicks,Total Revenue,Month
GRT Jewels,Offline Retail,OF-16473_GRTJewels_HomeMastHead_CPC_8,1452052,6456,41448,Sep'22
Bajaj,BFSI,"OF-16497_BajajFinservInstaEMIcard_Reward,MMBTF_CPC4",1005842,6872,17357,Sep'22
Netmeds,Health & wellness,OF-16836_Netmed_HomeATF-Rewards,4036457,8952,191754,Sep'22
KFC,FnB,OF-16428_KFC_HomeATF_CPM,941441,5367,46496,Sep'22
Kotak 811,BFSI,OF-16512_Kotak811_HomeBTF/Rewards,2157210,4532,13825,Sep'22
AU Bank - SA,BFSI,OF-16618_AUBank_HomeBTF/Rewards/Wealth,7104719,14374,77599,Sep'22
Hindustan University,Edtech,OF-16688_HindustanUniversity_MMBTF_PT_HomeATF_HOmeBTF_CPM85,285818,369,15677,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFC Savings_HomeBTF,Reward,CB,MMBTF_CPC4",2332788,7298,27443,Sep'22
AU Bank - SA,BFSI,OF-16618_AUBank_HomeBTF/Rewards/Wealth,6062734,14003,75596,Sep'22
Ludo_Gold,Gaming,"OF-16580_LudoGold_HomeATF,Reward,MMBTF,CB,CBC_CPC6",42401247,96282,569288,Sep'22
OLX Auto,"Commute, Travel & Hospitality","OF-16736_OLXAuto_HomeATF,BTF,CB,PT",1000093,10019,56642,Sep'22
PayTM First Games,Gaming,OF-16883_PaytmFirstGames_HBTF/Reward/MMBTF/CB_CPC8,38774908,4537,27966,Sep'22
KFC,FnB,OF-17045_KFC_HomeATF_CPM,1419137,1779,77477,Sep'22
Reliance Digital,Offline Retail,OF-16834_RelianceDigital_HomeATF-Rewards,1750002,1833,79857,Sep'22
Hindustan University,Edtech,OF-16688_HindustanUniversity_MMBTF_PT_HomeATF_HOmeBTF_CPM85,251372,369,13787,Sep'22
KFC,FnB,OF-17178_KFC_Bangalore_HP ATF,1573729,7125,86922,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",1620888,6314,23743,Sep'22
Playship,Gaming,OF-16644_Playship_HomeATF_CPC8,4400918,3698,22383,Sep'22
GRT Jewels,Offline Retail,OF-16473_GRTJewels_HomeMastHead_CPC_8,3254068,4482,28775,Sep'22
GRT Jewels,Offline Retail,OF-16473_GRTJewels_HomeMastHead_CPC_8,3650915,4382,28133,Sep'22
KFC,FnB,OF-17045_KFC_HomeATF_CPM,1280639,3494,69916,Sep'22
Hindustan University,Edtech,OF-16850_HindustanUniversity_MMBTF/PT_CPM,245913,1728,14006,Sep'22
GRT Jewels,Offline Retail,OF-16473_GRTJewels_HomeMastHead_CPC_8,2931982,4339,27857,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",2493164,5758,21652,Sep'22
Kotak 811,BFSI,OF-16512_Kotak811_HomeBTF/Rewards,1782722,3328,10152,Sep'22
FK Healthcare,e-Commerce,OF-16809_FK_Healthcare_HomeATF_Rewards,6681004,16511,160328,Sep'22
OLXAUTO,"Commute, Travel & Hospitality","OF-16736_OLXAuto_HomeATF,BTF,CB,PT",799503,1016,45281,Sep'22
Bajaj,BFSI,"OF-16497_BajajFinservInstaEMIcard_Reward,MMBTF_CPC4",607735,4408,11133,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",2833102,5412,20351,Sep'22
OLX Auto,"Commute, Travel & Hospitality","OF-16736_OLXAuto_HomeATF,BTF,CB,PT",759216,68,43000,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",736640,5368,20185,Sep'22
Playerzpot,Gaming,OF-16679_Playerzpot_HomeATF_Reward,1795534,9242,49120,Sep'22
Hindustan University,Edtech,OF-16688_HindustanUniversity_MMBTF_PT_HomeATF_HOmeBTF_CPM85,209621,203,11497,Sep'22
Bajaj,BFSI,"OF-16497_BajajFinservInstaEMIcard_Reward,MMBTF_CPC4",543357,4236,10699,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",1902939,5215,19610,Sep'22
Ludo_Gold,Gaming,"OF-16580_LudoGold_HomeATF,Reward,MMBTF,CB,CBC_CPC6",44547232,69469,410751,Sep'22
Ludo_Gold,Gaming,OF-16586_LudoGold_HomeBTF_CPM60,309560,1553,12584,Sep'22
Playerzpot,Gaming,OF-16679_Playerzpot_HomeATF_Reward,1499208,8710,46293,Sep'22
Ajio,e-Commerce,OF-16831_Ajio_Pttxn_CPM,17584221,86264,873306,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",1666518,4891,18392,Sep'22
GRT Jewels,Offline Retail,OF-16473_GRTJewels_HomeMastHead_CPC_8,1653726,3637,23350,Sep'22
KFC,FnB,OF-16894_KFC_CPM_HomeATF,946052,3354,51206,Sep'22
