Adv Name,Industry,Campaign Name,Total Impressions,Total Clicks,Total Revenue,Month
Bank of Baroda,BFSI,OF-14904_Bank of Baroda_HomeBTF/Rewards/CBC,687581,2605,15094,May'22
Bank of Baroda,BFSI,OF-14904_Bank of Baroda_HomeBTF/Rewards/CBC,1624687,4436,25703,May'22
Bank of Baroda,BFSI,OF-14904_Bank of Baroda_HomeBTF/Rewards/CBC,1538641,4247,24608,May'22
Bank of Baroda,BFSI,OF-14904_Bank of Baroda_HomeBTF/Rewards/CBC,1094679,3635,21062,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,2913904,6120,24480,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,607356,1754,7016,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,708843,2064,8256,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,165062,546,2184,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,15968,49,196,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,142498,287,1148,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,186959,224,896,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,178241,319,1276,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,228961,431,1724,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,10022120,11737,46948,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,9072992,2870,11480,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,6372042,1624,6496,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,5107730,1276,5104,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,3557288,854,3416,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,2191736,828,3312,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,39926,112,448,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,113404,176,704,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,7146,20,80,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,16206,72,288,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,7864,40,160,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,6382,23,92,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,3997,22,88,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,44759,221,884,May'22
Bharat Matrimony,Misc,OF-14535_Bharat Matrimony_RewardsPtxnHomebtf,59486,168,672,May'22
Blinkit,Daily needs & Grocery,OF-14863_Blinkit_HomeBTF_CPC4,9477133,22479,58450,May'22
Blinkit,Daily needs & Grocery,OF-14863_Blinkit_HomeBTF_CPC4,194668,503,1308,May'22
Blinkit,Daily needs & Grocery,OF-14863_Blinkit_HomeBTF_CPC4,1057535,3012,7832,May'22
Blinkit,Daily needs & Grocery,OF-14863_Blinkit_HomeBTF_CPC4,234317,860,2236,May'22
Blinkit,Daily needs & Grocery,OF-14863_Blinkit_HomeBTF_CPC4,29699162,136059,353783,May'22
Blinkit,Daily needs & Grocery,OF-14863_Blinkit_HomeBTF_CPC4,20664523,55143,143384,May'22
Blinkit,Daily needs & Grocery,OF-14863_Blinkit_HomeBTF_CPC4,6853246,10199,26520,May'22
Blinkit,Daily needs & Grocery,OF-14863_Blinkit_HomeBTF_CPC4,1344108,1877,4881,May'22
Blinkit,Daily needs & Grocery,OF-14863_Blinkit_HomeBTF_CPC4,532478,618,1607,May'22
Blinkit,Daily needs & Grocery,OF-14863_Blinkit_HomeBTF_CPC4,49,0,0,May'22
Blinkit,Daily needs & Grocery,OF-14863_Blinkit_HomeBTF_CPC4,10,0,0,May'22
Blinkit,Daily needs & Grocery,OF-14863_Blinkit_HomeBTF_CPC4,4,0,0,May'22
Citibank,BFSI,OF-14429_Citi_CPMBanner_April'22_CBRewards,59,0,0,May'22
Citibank,BFSI,OF-14429_Citi_CPMBanner_April'22_CBRewards,305,3,0,May'22
Citibank,BFSI,OF-14429_Citi_CPMBanner_April'22_CBRewards,189,0,0,May'22
Citibank,BFSI,OF-14429_Citi_CPMBanner_April'22_CBRewards,117,0,0,May'22
Citibank,BFSI,OF-14429_Citi_CPMBanner_April'22_CBRewards,29,0,0,May'22
Citibank,BFSI,OF-14429_Citi_CPMBanner_April'22_CBRewards,22839,477,0,May'22
Citibank,BFSI,OF-14429_Citi_CPMBanner_April'22_CBRewards,2909,4,0,May'22
Citibank,BFSI,OF-14429_Citi_CPMBanner_April'22_CBRewards,166,0,0,May'22
Citibank,BFSI,OF-14441_Citi_CPCBanner_April'22_PTxn,11,8,0,May'22
Citibank,BFSI,OF-14441_Citi_CPCBanner_April'22_PTxn,28,14,0,May'22
Citibank,BFSI,OF-14441_Citi_CPCBanner_April'22_PTxn,8,2,0,May'22
Cleartrip,"Commute, Travel & Hospitality",OF-15065_Cleartrip_HomemastHead_CPC4.5,2147514,12625,41590,May'22
Cleartrip,"Commute, Travel & Hospitality",OF-15065_Cleartrip_HomemastHead_CPC4.5,11944301,29064,95744,May'22
Cleartrip,"Commute, Travel & Hospitality",OF-15065_Cleartrip_HomemastHead_CPC4.5,7210989,10504,34603,May'22
Cleartrip,"Commute, Travel & Hospitality",OF-15065_Cleartrip_HomemastHead_CPC4.5,7215253,9210,30340,May'22
Cleartrip,"Commute, Travel & Hospitality",OF-15065_Cleartrip_HomemastHead_CPC4.5,1156605,2697,8885,May'22
Cleartrip,"Commute, Travel & Hospitality",OF-15065_Cleartrip_HomemastHead_CPC4.5,3733514,4201,13839,May'22
CRED,BFSI,"OF-15212_Performics-CRED_HomeBTF,Reward,MMBTF_CPC6",18172,63,378,May'22
CRED,BFSI,"OF-15212_Performics-CRED_HomeBTF,Reward,MMBTF_CPC6",29893,98,588,May'22
CRED,BFSI,"OF-15212_Performics-CRED_HomeBTF,Reward,MMBTF_CPC6",18869,56,336,May'22
CRED,BFSI,"OF-15212_Performics-CRED_HomeBTF,Reward,MMBTF_CPC6",51301,175,1050,May'22
CRED,BFSI,"OF-15212_Performics-CRED_HomeBTF,Reward,MMBTF_CPC6",107484,257,1542,May'22
CRED,BFSI,"OF-15212_Performics-CRED_HomeBTF,Reward,MMBTF_CPC6",252173,748,4488,May'22
CRED,BFSI,"OF-15212_Performics-CRED_HomeBTF,Reward,MMBTF_CPC6",55666,149,894,May'22
CRED,BFSI,"OF-15212_Performics-CRED_HomeBTF,Reward,MMBTF_CPC6",69462,230,1380,May'22
CRED,BFSI,"OF-15212_Performics-CRED_HomeBTF,Reward,MMBTF_CPC6",106149,340,2040,May'22
CRED,BFSI,"OF-15212_Performics-CRED_HomeBTF,Reward,MMBTF_CPC6",59736,231,1386,May'22
CRED,BFSI,"OF-15212_Performics-CRED_HomeBTF,Reward,MMBTF_CPC6",108597,268,1608,May'22
CRED,BFSI,"OF-15212_Performics-CRED_HomeBTF,Reward,MMBTF_CPC6",1091,4,24,May'22
CRED,BFSI,OF-15212_Performics-CRED_HomeBTFRewardMMBTF_CPC6,50889,164,984,May'22
CRED,BFSI,"OF-15212_Performics-CRED_HomeBTF,Reward,MMBTF_CPC6",12187,73,438,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,147806,354,1416,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,189602,653,2612,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,131643,550,2200,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,90110,414,1656,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,136586,697,2788,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,161584,598,2392,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,159133,233,932,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,216680,444,1776,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,261574,643,2572,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,414699,912,3648,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,201762,506,2024,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,347461,576,2304,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,28690,128,512,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,17303,106,424,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,64687,159,636,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,21201,108,432,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,22788,135,540,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,61775,347,1388,May'22
Dhan,BFSI,OF-15035_Dhan_HomeBTF/Rewards/Investments_CPC,25092,152,608,May'22
Edelweiss,BFSI,OF-14979_Edelweiss_CB/CBC,70156827,52713,93259,May'22
Edelweiss,BFSI,OF-14979_Edelweiss_CB/CBC,25400090,5137,9088,May'22
Edelweiss,BFSI,OF-14979_Edelweiss_CB/CBC,76549814,96059,169947,May'22
Edelweiss,BFSI,OF-14979_Edelweiss_CB/CBC,6037914,11332,20048,May'22
Edelweiss,BFSI,OF-14979_Edelweiss_CB/CBC,5662379,1130,1999,May'22
Edelweiss,BFSI,OF-14979_Edelweiss_CB/CBC,2886621,569,1007,May'22
Edelweiss,BFSI,OF-14979_Edelweiss_CB/CBC,501939,105,186,May'22
Edelweiss,BFSI,OF-14979_Edelweiss_CB/CBC,1263594,2332,4126,May'22
Edelweiss,BFSI,OF-14979_Edelweiss_CB/CBC,41176,9,16,May'22
Edelweiss,BFSI,OF-14979_Edelweiss_CB/CBC,86130,183,324,May'22
Edelweiss,BFSI,OF-14979_Edelweiss_CB/CBC,0,0,0,May'22
Fancraze,BFSI,OF-14635_Fancraze_Homemasthead,87056659,184039,1150000,May'22
Fancraze,BFSI,OF-14636_Fancraze_Homemasthead,3913,64,0,May'22
Fancraze,BFSI,OF-14637_Fancraze_CB,51613,957,0,May'22
Fancraze,BFSI,OF-14638_Fancraze_CBC,6701,2,0,May'22
Fancraze,BFSI,OF-14639_Fancraze_Rewards,77405,83,0,May'22
Fancraze,BFSI,OF-14640_Fancraze_PT,114,801,0,May'22
Fresh To Home,Daily needs & Grocery,"OF-15178_Fresh To Home_PT,HomeBTF_CPC5",259,2,10,May'22
Fresh To Home,Daily needs & Grocery,"OF-15178_Fresh To Home_PT,HomeBTF_CPC5",16743,148,740,May'22
Fresh To Home,Daily needs & Grocery,"OF-15178_Fresh To Home_PT,HomeBTF_CPC5",104594,806,4030,May'22
Fresh To Home,Daily needs & Grocery,"OF-15178_Fresh To Home_PT,HomeBTF_CPC5",31107,315,1575,May'22
Fresh To Home,Daily needs & Grocery,"OF-15178_Fresh To Home_PT,HomeBTF_CPC5",3790589,14554,72770,May'22
Fresh To Home,Daily needs & Grocery,"OF-15178_Fresh To Home_PT,HomeBTF_CPC5",3128,19,95,May'22
Fresh To Home,Daily needs & Grocery,"OF-15178_Fresh To Home_PT,HomeBTF_CPC5",0,0,0,May'22
Gamezy,Gaming,OF-14304_Gamezy_HomeATF,133368981,124436,2000000,May'22
Gamezy,Gaming,OF-14304_Gamezy_HomeATF,0,1,0,May'22
Gamezy,Gaming,OF-14481_Gamezy_HomeATF_Slot 6,289,12,0,May'22
Gamezy,Gaming,OF-14481_Gamezy_HomeATF_Slot 6,0,9,0,May'22
Gamezy,Gaming,OF-14481_Gamezy_HomeATF_Slot 6,0,16,0,May'22
Gamezy,Gaming,OF-14481_Gamezy_HomeATF_Slot 6,0,7,0,May'22
Gamezy,Gaming,OF-14481_Gamezy_HomeATF_Slot 6,0,3,0,May'22
Gamezy,Gaming,OF-14864_Gamezy_HomeBTF_CPC6,44276355,86779,520674,May'22
Gamezy,Gaming,OF-14864_Gamezy_HomeBTF_CPC6,12494344,31890,191340,May'22
Gamezy,Gaming,OF-14864_Gamezy_HomeBTF_CPC6,10129989,28771,172626,May'22
Gamezy,Gaming,OF-14864_Gamezy_HomeBTF_CPC6,3081552,10232,61392,May'22
Gamezy,Gaming,OF-14864_Gamezy_HomeBTF_CPC6,1734882,5729,34374,May'22
Gamezy,Gaming,OF-14864_Gamezy_HomeBTF_CPC6,171642,613,3678,May'22
Gamezy,Gaming,OF-14864_Gamezy_HomeBTF_CPC6,0,1,6,May'22
GetMega,Gaming,OF-14816_Getmega_HomeBTF,9783842,39013,273091,May'22
GetMega,Gaming,OF-14816_Getmega_HomeBTF,3878954,22711,158977,May'22
GetMega,Gaming,OF-14816_Getmega_HomeBTF,16128226,115989,811923,May'22
GetMega,Gaming,OF-14816_Getmega_HomeBTF,7555303,64122,448854,May'22
GetMega,Gaming,OF-14816_Getmega_HomeBTF,3281609,24808,173656,May'22
GetMega,Gaming,OF-14816_Getmega_HomeBTF,1123238,5500,38500,May'22
Groww,BFSI,OF-14936_Groww_PTCB_CPD,155688794,187915,500000,May'22
Groww,BFSI,OF-14936_Groww_PTCB_CPD,84216960,277752,500000,May'22
HDFC,BFSI,OF-14974_HDFC HL_May'22_Banner_Rewards/CBC,724596,1297,5457,May'22
HDFC,BFSI,OF-14974_HDFC HL_May'22_Banner_Rewards/CBC,452888,1201,5053,May'22
HDFC,BFSI,OF-14974_HDFC HL_May'22_Banner_Rewards/CBC,673350,1936,8146,May'22
HDFC,BFSI,OF-14974_HDFC HL_May'22_Banner_Rewards/CBC,246593,770,3240,May'22
HDFC,BFSI,OF-14974_HDFC HL_May'22_Banner_Rewards/CBC,191759,507,2133,May'22
HDFC,BFSI,OF-14974_HDFC HL_May'22_Banner_Rewards/CBC,28279,67,282,May'22
HDFC,BFSI,OF-14974_HDFC HL_May'22_Banner_Rewards/CBC,26065311,38524,162093,May'22
HDFC,BFSI,OF-14974_HDFC HL_May'22_Banner_Rewards/CBC,3719307,9197,38697,May'22
HDFC,BFSI,OF-14974_HDFC HL_May'22_Banner_Rewards/CBC,4521107,12444,52359,May'22
HDFC,BFSI,OF-14974_HDFC HL_May'22_Banner_Rewards/CBC,1530264,4450,18724,May'22
HDFC,BFSI,OF-14974_HDFC HL_May'22_Banner_Rewards/CBC,209408,766,3223,May'22
HDFC,BFSI,OF-14974_HDFC HL_May'22_Banner_Rewards/CBC,20307,141,593,May'22
HDFC,BFSI,OF-14974_HDFC HL_May'22_Banner_Rewards/CBC,18,0,0,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",4536721,3562,4463,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",3030428,533,668,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",1231172,187,234,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",876350,143,179,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",15417285,62360,78136,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",8113650,20556,25756,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",310528,504,632,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",3083688,4475,5607,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",225299,46,58,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",40441,18,23,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",181596,295,370,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",956037,2313,2898,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",248494,501,628,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",77160,192,241,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",18405,74,93,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",2105,12,15,May'22
iProspect-AU Bank,BFSI,"OF-15235_AU Bank Savings_HomeATF,CB,CBC_CPC2",0,0,0,May'22
iProspect-AU Bank,BFSI,"OF-15236_AUBank_HomeBTF,MMBTF,Rewards_CPC5",0,0,0,May'22
iProspect-AU Bank,BFSI,"OF-15236_AUBank_HomeBTF,MMBTF,Rewards_CPC5",1,0,0,May'22
iProspect-AU Bank,BFSI,"OF-15236_AUBank_HomeBTF,MMBTF,Rewards_CPC5",1705446,3892,8964,May'22
iProspect-AU Bank,BFSI,"OF-15236_AUBank_HomeBTF,MMBTF,Rewards_CPC5",1627884,5677,13075,May'22
iProspect-AU Bank,BFSI,"OF-15236_AUBank_HomeBTF,MMBTF,Rewards_CPC5",1000203,3815,8787,May'22
iProspect-AU Bank,BFSI,"OF-15236_AUBank_HomeBTF,MMBTF,Rewards_CPC5",2467425,4507,10381,May'22
iProspect-AU Bank,BFSI,"OF-15236_AUBank_HomeBTF,MMBTF,Rewards_CPC5",1148404,2643,6087,May'22
iProspect-AU Bank,BFSI,"OF-15236_AUBank_HomeBTF,MMBTF,Rewards_CPC5",96095,258,594,May'22
iProspect-AU Bank,BFSI,"OF-15236_AUBank_HomeBTF,MMBTF,Rewards_CPC5",223,0,0,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,588707,718,14718,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,244145,51,6104,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,114748,21,2869,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,532946,1931,13324,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,1194756,4908,29869,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,492492,2243,12312,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,151084,669,3777,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,13864,68,347,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,41,0,1,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,4877852,19632,121946,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,4645167,22567,116129,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,2243127,11529,56078,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,1725277,11105,43132,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,2821634,18721,70541,May'22
Jupiter,BFSI,OF-14955_Jupiter_HomeBTF_CPM25,3060360,13500,76509,May'22
Jupiter,BFSI,OF-14956_Jupiter_CB_CPC1.5,637264670,848582,1272873,May'22
Jupiter,BFSI,OF-14956_Jupiter_CB_CPC1.5,397428761,177733,266600,May'22
Jupiter,BFSI,OF-14956_Jupiter_CB_CPC1.5,63297482,18336,27504,May'22
Jupiter,BFSI,OF-14956_Jupiter_CB_CPC1.5,62797668,18495,27743,May'22
Jupiter,BFSI,OF-14956_Jupiter_CB_CPC1.5,31229477,8840,13260,May'22
Jupiter,BFSI,OF-14956_Jupiter_CB_CPC1.5,13537573,5458,8187,May'22
Kalpataru,Misc,OF-14357_Kalpataru_Homepage ATF,134,0,0,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,474286,1205,4820,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,693214,2223,8892,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,831310,2947,11788,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,793762,3335,13340,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,926716,4125,16500,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,1382760,3609,14436,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,334467,532,2128,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,700863,1922,7688,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,816150,2061,8244,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,1504337,4195,16780,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,1634325,4401,17604,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,2554860,5306,21224,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,569596,1504,6016,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,1592558,3641,14564,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,597600,2251,9004,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,298260,1125,4500,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,136921,643,2572,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,160579,671,2684,May'22
Kotak 811,BFSI,OF-14810_Kotak811_HomeBTF/Rewards/Investments,51317,169,676,May'22
Kotak 811,BFSI,OF-14811_Kotak811_CB/CBC,19193624,19297,34522,May'22
Kotak 811,BFSI,OF-14811_Kotak811_CB/CBC,54021052,15934,28506,May'22
Kotak 811,BFSI,OF-14811_Kotak811_CB/CBC,22248893,6565,11745,May'22
Kotak 811,BFSI,OF-14811_Kotak811_CB/CBC,108767766,171959,307636,May'22
Kotak 811,BFSI,OF-14811_Kotak811_CB/CBC,13138618,36816,65864,May'22
Kotak 811,BFSI,OF-14811_Kotak811_CB/CBC,21410370,5287,9458,May'22
Kotak 811,BFSI,OF-14811_Kotak811_CB/CBC,14582161,3093,5533,May'22
Kotak 811,BFSI,OF-14811_Kotak811_CB/CBC,7374424,2121,3794,May'22
Kotak 811,BFSI,OF-14811_Kotak811_CB/CBC,4772726,14380,25726,May'22
Kotak 811,BFSI,OF-14811_Kotak811_CB/CBC,2774073,10113,18092,May'22
Kotak 811,BFSI,OF-14811_Kotak811_CB/CBC,1515821,6978,12484,May'22
Kotak 811,BFSI,OF-14811_Kotak811_CB/CBC,769140,3968,7099,May'22
Kotak 811,BFSI,OF-15232_Kotak811_HomemastHead_CPD,182340647,767018,1800000,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,28719,65,313,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,20559,47,226,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,12566,47,226,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,12361,29,140,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,1588,8,39,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,3566192,17068,82145,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,1666169,4325,20815,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,764846,1622,7806,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,780,0,0,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,913073,1490,7171,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,920942,1149,5530,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,230687,539,2594,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,3615596,17848,85899,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,1026129,5547,26697,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,119608,542,2609,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,806911,265,1275,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,245298,65,313,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,203516,58,279,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,288258,92,443,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,315109,124,597,May'22
Lodha,Misc,OF-14918_Lodha_HomeBTF_CPC5,748713,962,4630,May'22
Ludo_Gold,Gaming,OF-14397_Ludo Gold_HomeBTF,67120,1413,0,May'22
Ludo_Gold,Gaming,OF-14397_Ludo Gold_HomeBTF,324,15,0,May'22
Ludo_Gold,Gaming,OF-14397_Ludo Gold_HomeBTF,2895,151,0,May'22
Ludo_Gold,Gaming,OF-14397_Ludo Gold_HomeBTF,501,3,0,May'22
Ludo_Gold,Gaming,OF-14397_Ludo Gold_HomeBTF,75,2,0,May'22
Ludo_Gold,Gaming,OF-14397_Ludo Gold_HomeBTF,67120,1413,0,May'22
Ludo_Gold,Gaming,OF-14397_Ludo Gold_HomeBTF,324,15,0,May'22
Ludo_Gold,Gaming,OF-14397_Ludo Gold_HomeBTF,2895,151,0,May'22
Ludo_Gold,Gaming,OF-14397_Ludo Gold_HomeBTF,501,3,0,May'22
Ludo_Gold,Gaming,OF-14397_Ludo Gold_HomeBTF,75,2,0,May'22
Ludo_Gold,Gaming,OF-14463_Ludo Gold_HomemastHead,2602047607,8603908,38000000,May'22
Ludo_Gold,Gaming,OF-14824_Ludo Gold_ROS_CPC6,362369511,433538,2601228,May'22
Ludo_Gold,Gaming,OF-14824_Ludo Gold_ROS_CPC6,3126705,5548,33288,May'22
Ludo_Gold,Gaming,OF-14824_Ludo Gold_ROS_CPC6,908491,1544,9264,May'22
Ludo_Gold,Gaming,OF-14824_Ludo Gold_ROS_CPC6,11613129,34223,205338,May'22
Ludo_Gold,Gaming,OF-14824_Ludo Gold_ROS_CPC6,19724322,82603,495618,May'22
Ludo_Gold,Gaming,OF-14824_Ludo Gold_ROS_CPC6,522465,2729,16374,May'22
Ludo_Gold,Gaming,OF-14824_Ludo Gold_ROS_CPC6,283910,1724,10344,May'22
Ludo_Gold,Gaming,OF-14824_Ludo Gold_ROS_CPC6,236485,850,5100,May'22
Ludo_Gold,Gaming,OF-14824_Ludo Gold_ROS_CPC6,45334,178,1068,May'22
Ludo_Gold,Gaming,OF-14824_Ludo Gold_ROS_CPC6,368168774,402487,2414922,May'22
